player,assists,championsKilled,exp,goldEarned,minionsKilled,numDeaths,objectivesStolen,teamPosition,totalDamageDealtToChampions,visionScore,win
TheRoonster,12,4,19310,13974,244,7,0,TOP,31708,36,Fail
Drëämy,13,5,15923,12616,33,10,0,JUNGLE,16535,28,Fail
Obama Bin Bucky,13,9,14176,13740,36,14,0,UTILITY,11072,78,Fail
l Duck I,7,17,19374,17210,219,8,0,MIDDLE,34120,22,Fail
Ive too much BE,14,10,18373,16023,233,10,0,BOTTOM,24322,21,Fail
Kinettech,9,7,20117,15661,238,7,0,TOP,25139,28,Win
EierkraulerJoni,17,4,14890,10555,52,11,0,UTILITY,10319,50,Win
Strophic,14,14,21829,19574,249,8,0,MIDDLE,52074,40,Win
Chairman Kogmao,11,6,14162,13826,154,13,0,BOTTOM,18498,22,Win
VıNINE Dirwi,7,18,21601,19894,79,6,0,JUNGLE,34084,25,Win
